city_x,city_y
Brest Bretagne,Figari South Corsica
Brest Bretagne,Lille
Brest Bretagne,Lyon-Saint Exupéry
Brest Bretagne,Marseille
Brest Bretagne,Montpellier
Brest Bretagne,Nantes
Brest Bretagne,Nice
Brest Bretagne,Paris Beauvais
Brest Bretagne,Paris Charles de Gaulle
Brest Bretagne,Paris Orly
Brest Bretagne,Strasbourg
Brest Bretagne,Rennes Bretagne
Brest Bretagne,Réunion Roland Garros
Brest Bretagne,Toulon-Hyères
Brest Bretagne,Toulouse Blagnac
Brest Bretagne,Allgäu Memmingen
Brest Bretagne,Berlin Brandenburg
Brest Bretagne,Berlin Schönefeld
Brest Bretagne,Berlin Tegel
Brest Bretagne,Bremen
Brest Bretagne,Cologne Bonn
Brest Bretagne,Dortmund
Brest Bretagne,Dresden
Brest Bretagne,Düsseldorf
Brest Bretagne,Frankfurt
Brest Bretagne,Frankfurt-Hahn
Brest Bretagne,Friedrichshafen
Brest Bretagne,Hamburg
Brest Bretagne,Hanover
Brest Bretagne,Karlsruhe Baden-Baden
Brest Bretagne,Leipzig Halle
Brest Bretagne,Munich
Brest Bretagne,Münster Osnabrück
Brest Bretagne,Nuremberg
Brest Bretagne,Paderborn Lippstadt
Brest Bretagne,Stuttgart
Brest Bretagne,Weeze
Brest Bretagne,Alghero
Brest Bretagne,Ancona
Brest Bretagne,Bari
Brest Bretagne,Bergamo
Brest Bretagne,Bologna
Brest Bretagne,Brindisi
Brest Bretagne,Cagliari
Brest Bretagne,Catania Fontanarossa
Brest Bretagne,Comiso
Brest Bretagne,Florence
Brest Bretagne,Genoa
Brest Bretagne,Lamezia Terme
Brest Bretagne,Milan Linate
Brest Bretagne,Milan Malpensa
Brest Bretagne,Naples
Brest Bretagne,Olbia Costa Smeralda
Brest Bretagne,Palermo
Brest Bretagne,Perugia
Brest Bretagne,Pescara
Brest Bretagne,Pisa
Brest Bretagne,Rome Ciampino
Brest Bretagne,Rome Fiumicino
Brest Bretagne,Trapani
Brest Bretagne,Treviso
Brest Bretagne,Turin
Brest Bretagne,Venice
Brest Bretagne,Verona
Brest Bretagne,Amsterdam Schiphol
Brest Bretagne,Eindhoven
Brest Bretagne,Groningen Eelde
